# atom_fire_audit — 79 atoms × 4749 envelopes (4749 successful Synthesize runs)

atom_id                                             count  fires-on (sample / full)
develop-manual-deploy                                 576  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=true/st=ACTIVE ... +571 more]
develop-push-git-deploy                               576  [develop/container/dev/push-git/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/push-git/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/push-git/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/push-git/actions/dynamic/dep=true/st=_ develop/container/dev/push-git/actions/implicit-webserver/dep=true/st=ACTIVE ... +571 more]
develop-strategy-review                               576  [develop/container/dev/unset/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/unset/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/unset/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/unset/actions/dynamic/dep=true/st=_ develop/container/dev/unset/actions/implicit-webserver/dep=true/st=ACTIVE ... +571 more]
develop-mode-expansion                                768  [develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=true/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=true/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=true/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=true/st=ACTIVE ... +763 more]
develop-implicit-webserver                           1152  [develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE develop/container/dev/manual/actions/implicit-webserver/dep=false/st=DEPLOYING develop/container/dev/manual/actions/implicit-webserver/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/implicit-webserver/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=true/st=ACTIVE ... +1147 more]
develop-static-workflow                              1152  [develop/container/dev/manual/actions/static/dep=false/st=ACTIVE develop/container/dev/manual/actions/static/dep=false/st=DEPLOYING develop/container/dev/manual/actions/static/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/static/dep=false/st=_ develop/container/dev/manual/actions/static/dep=true/st=ACTIVE ... +1147 more]
develop-first-deploy-write-app                       1153  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +1148 more]
develop-first-deploy-execute-cmds                    1154  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/implicit-webserver/dep=false/st=ACTIVE ... +1149 more]
develop-local-workflow                               2305  [develop/local/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/local/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/local/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/local/dev/manual/actions/dynamic/dep=false/st=_ develop/local/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +2300 more]
develop-platform-rules-container                     2305  [develop/container/dev/manual/actions/dynamic/dep=false/st=ACTIVE develop/container/dev/manual/actions/dynamic/dep=false/st=DEPLOYING develop/container/dev/manual/actions/dynamic/dep=false/st=READY_TO_DEPLOY develop/container/dev/manual/actions/dynamic/dep=false/st=_ develop/container/dev/manual/actions/dynamic/dep=true/st=ACTIVE ... +2300 more]
